,sep,sep2,dT,peak,mult,bl1,bl2
345, 92_164, 92_164, 0.0, 12127.9726, 2401, 83.0191142649, 83.0191142649
346, 6_166, 6_166, 0.0, 12127.9726, 625, 122.442857421, 122.442857421
347, 0_61, 0_61, 0.0, 12127.9726, 5329, 146.243130893, 146.243130893
348, 0_165, 0_165, 0.0, 12127.9726, 3025, 153.357925564, 153.357925564
349, 65_154, 65_154, 0.0, 12127.9726, 81, 259.672126601, 259.672126601
350, 146_162, 146_162, 0.0, 12127.9726, 1849, 68.9969081433, 68.9969081433
351, 4_319, 4_319, 0.0, 12127.9726, 1, 257.197693095, 257.197693095
352, 0_116, 0_116, 0.0, 12127.9726, 2304, 116.8, 116.8
353, 0_251, 0_251, 0.0, 12127.9726, 2304, 194.42318106, 194.42318106
354, 65_156, 65_156, 0.0, 12127.9726, 2304, 68.9969081433, 68.9969081433
355, 0_252, 0_252, 0.0, 12127.9726, 2401, 193.874220394, 193.874220394
356, 65_159, 65_159, 0.0, 12127.9726, 2025, 73.48505517, 73.48505517
357, 0_126, 0_126, 0.0, 12127.9726, 400, 133.811210293, 133.811210293
358, 50_276, 50_276, 0.0, 12127.9726, 100, 218.67531487, 218.67531487
359, 0_90, 0_90, 0.0, 12127.9726, 2209, 115.883907425, 115.883907425
360, 64_135, 64_135, 0.0, 12127.9726, 1, 257.197693095, 257.197693095
361, 0_21, 0_21, 0.0, 12127.9726, 729, 139.275123407, 139.275123407
362, 6_266, 6_266, 0.0, 12127.9726, 196, 233.752033859, 233.752033859
363, 11_163, 11_163, 0.0, 12127.9726, 3969, 131.670092782, 131.670092782
364, 7_196, 7_196, 0.0, 12127.9726, 100, 218.67531487, 218.67531487
365, 22_185, 22_185, 0.0, 12127.9726, 2025, 160.821059981, 160.821059981
366, 0_187, 0_187, 0.0, 12127.9726, 2025, 169.2172962, 169.2172962
367, 22_58, 22_58, 0.0, 12127.9726, 1089, 84.2931393017, 84.2931393017
368, 0_81, 0_81, 0.0, 12127.9726, 10816, 87.6, 87.6
369, 22_187, 22_187, 0.0, 12127.9726, 81, 139.275123407, 139.275123407
370, 22_186, 22_186, 0.0, 12127.9726, 2025, 153.357925564, 153.357925564
371, 0_186, 0_186, 0.0, 12127.9726, 2025, 167.95289022, 167.95289022
372, 13_22, 13_22, 0.0, 12127.9726, 2025, 138.764020313, 138.764020313
373, 11_186, 11_186, 0.0, 12127.9726, 2025, 161.482424224, 161.482424224
374, 22_189, 22_189, 0.0, 12127.9726, 441, 129.767638493, 129.767638493
375, 51_155, 51_155, 0.0, 12127.9726, 2025, 94.9935436403, 94.9935436403
376, 22_225, 22_225, 0.0, 12127.9726, 784, 170.472324245, 170.472324245
377, 65_158, 65_158, 0.0, 12127.9726, 2304, 68.9969081433, 68.9969081433
378, 22_276, 22_276, 0.0, 12127.9726, 100, 201.423566976, 201.423566976
379, 0_235, 0_235, 0.0, 12127.9726, 3249, 181.377212828, 181.377212828
380, 5_92, 5_92, 0.0, 12127.9726, 2025, 88.0046210908, 88.0046210908
381, 0_250, 0_250, 0.0, 12127.9726, 2025, 196.060840897, 196.060840897
382, 7_207, 7_207, 0.0, 12127.9726, 256, 147.69351148, 147.69351148
383, 135_156, 135_156, 0.0, 12127.9726, 100, 22.3018683821, 22.3018683821
384, 8_187, 8_187, 0.0, 12127.9726, 441, 135.65696935, 135.65696935
385, 1_233, 1_233, 0.0, 12127.9726, 2025, 188.296609989, 188.296609989
386, 8_233, 8_233, 0.0, 12127.9726, 36, 237.371635486, 237.371635486
387, 11_35, 11_35, 0.0, 12127.9726, 2025, 175.402660565, 175.402660565
388, 8_176, 8_176, 0.0, 12127.9726, 36, 226.339243909, 226.339243909
389, 65_155, 65_155, 0.0, 12127.9726, 2025, 73.48505517, 73.48505517
390, 7_166, 7_166, 0.0, 12127.9726, 625, 122.442857421, 122.442857421
391, 8_127, 8_127, 0.0, 12127.9726, 900, 97.2115905298, 97.2115905298
392, 22_144, 22_144, 0.0, 12127.9726, 1369, 141.803008901, 141.803008901
393, 0_255, 0_255, 0.0, 12127.9726, 1600, 198.760291138, 198.760291138
394, 0_254, 0_254, 0.0, 12127.9726, 2025, 196.060840897, 196.060840897
395, 0_177, 0_177, 0.0, 12127.9726, 4900, 149.842762032, 149.842762032
396, 9_65, 9_65, 0.0, 12127.9726, 100, 179.407803621, 179.407803621
397, 22_246, 22_246, 0.0, 12127.9726, 144, 164.533643976, 164.533643976
398, 22_126, 22_126, 0.0, 12127.9726, 1936, 118.010395022, 118.010395022
399, 157_187, 157_187, 0.0, 12127.9726, 2025, 138.764020313, 138.764020313
400, 76_165, 76_165, 0.0, 12127.9726, 2025, 88.0046210908, 88.0046210908
401, 22_69, 22_69, 0.0, 12127.9726, 441, 149.129786875, 149.129786875
402, 156_292, 156_292, 0.0, 12127.9726, 36, 212.746265145, 212.746265145
403, 127_163, 127_163, 0.0, 12127.9726, 1936, 67.4345114413, 67.4345114413
404, 0_131, 0_131, 0.0, 12127.9726, 2601, 193.874220394, 193.874220394
405, 22_125, 22_125, 0.0, 12127.9726, 1444, 127.558666242, 127.558666242
406, 3_146, 3_146, 0.0, 12127.9726, 1936, 124.171548002, 124.171548002
407, 0_75, 0_75, 0.0, 12127.9726, 1225, 126.439708953, 126.439708953
408, 0_205, 0_205, 0.0, 12127.9726, 1936, 175.402660565, 175.402660565
409, 47_157, 47_157, 0.0, 12127.9726, 1936, 206.647171123, 206.647171123
410, 64_81, 64_81, 0.0, 12127.9726, 100, 228.215015574, 228.215015574
411, 158_187, 158_187, 0.0, 12127.9726, 1936, 124.171548002, 124.171548002
412, 36_163, 36_163, 0.0, 12127.9726, 1936, 118.010395022, 118.010395022
413, 11_49, 11_49, 0.0, 12127.9726, 1936, 183.712637925, 183.712637925
414, 22_183, 22_183, 0.0, 12127.9726, 1936, 178.414947057, 178.414947057
415, 81_97, 81_97, 0.0, 12127.9726, 100, 240.936865866, 240.936865866
416, 0_189, 0_189, 0.0, 12127.9726, 1764, 188.296609989, 188.296609989
417, 36_49, 36_49, 0.0, 12127.9726, 784, 197.145056578, 197.145056578
660, 22_42, 22_42, 0.0, 12127.9726, 1156, 99.3801455691, 99.3801455691
661, 22_138, 22_138, 0.0, 12127.9726, 16, 210.732848254, 210.732848254
662, 146_163, 146_163, 0.0, 12127.9726, 1296, 55.2747078991, 55.2747078991
663, 2_292, 2_292, 0.0, 12127.9726, 36, 240.936865866, 240.936865866
664, 0_207, 0_207, 0.0, 12127.9726, 1296, 183.712637925, 183.712637925
665, 127_165, 127_165, 0.0, 12127.9726, 729, 44.6037367642, 44.6037367642
666, 2_207, 2_207, 0.0, 12127.9726, 1296, 167.95289022, 167.95289022
667, 6_277, 6_277, 0.0, 12127.9726, 100, 204.573735688, 204.573735688
668, 0_6, 0_6, 0.0, 12127.9726, 13456, 87.6, 87.6
669, 11_115, 11_115, 0.0, 12127.9726, 900, 223.496070062, 223.496070062
670, 10_127, 10_127, 0.0, 12127.9726, 1296, 103.581143715, 103.581143715
671, 12_155, 12_155, 0.0, 12127.9726, 2916, 138.764020313, 138.764020313
672, 50_97, 50_97, 0.0, 12127.9726, 400, 227.279064881, 227.279064881
916, 4_226, 4_226, 0.0, 12127.9726, 784, 170.472324245, 170.472324245
917, 116_164, 116_164, 0.0, 12127.9726, 1089, 127.558666242, 127.558666242
918, 135_175, 135_175, 0.0, 12127.9726, 1, 292.12164133, 292.12164133
919, 36_291, 36_291, 0.0, 12127.9726, 36, 237.371635486, 237.371635486
920, 98_156, 98_156, 0.0, 12127.9726, 961, 42.1465696508, 42.1465696508
921, 0_115, 0_115, 0.0, 12127.9726, 1156, 221.098831596, 221.098831596
922, 0_282, 0_282, 0.0, 12127.9726, 961, 219.162162184, 219.162162184
923, 22_46, 22_46, 0.0, 12127.9726, 576, 46.9324337035, 46.9324337035
924, 22_124, 22_124, 0.0, 12127.9726, 961, 137.993816287, 137.993816287
925, 36_165, 36_165, 0.0, 12127.9726, 961, 137.993816287, 137.993816287
926, 22_38, 22_38, 0.0, 12127.9726, 841, 156.113078675, 156.113078675
927, 0_305, 0_305, 0.0, 12127.9726, 9, 270.132880881, 270.132880881
928, 116_160, 116_160, 0.0, 12127.9726, 961, 72.0200897898, 72.0200897898
929, 0_143, 0_143, 0.0, 12127.9726, 961, 124.742454682, 124.742454682
930, 160_166, 160_166, 0.0, 12127.9726, 2025, 88.0046210908, 88.0046210908
931, 0_137, 0_137, 0.0, 12127.9726, 1369, 119.506150469, 119.506150469
418, 5_34, 0_16, -0.00100000016391, 308.80423168, 7203, 83.0191142649, 66.9056051464
673, 50_161, 50_243, 0.00500000081956, 2.89261765311, 945, 94.9935436403, 190.547246984
532, 1_81, 0_109, 0.0, 2.64372011114, 6059, 95.7386024548, 144.04017958
468, 4_61, 0_45, 0.0140000022948, 102.405578451, 3074, 92.7224532319, 115.883907425
932, 81_158, 10_187, -0.00600000098348, 1.97815854623, 1102, 59.0051975112, 141.803008901
