,sep,sep2,dT,peak,mult,bl1,bl2
870, 2_207, 2_207, 0.0, 12127.9726, 1296, 167.95289022, 167.95289022
871, 61_156, 61_156, 0.0, 12127.9726, 1849, 207.676126055, 207.676126055
872, 11_260, 11_260, 0.0, 12127.9726, 225, 219.64793041, 219.64793041
873, 156_166, 156_166, 0.0, 12127.9726, 3025, 146.243130893, 146.243130893
874, 1_36, 1_36, 0.0, 12127.9726, 29929, 52.6410486218, 52.6410486218
875, 10_226, 10_226, 0.0, 12127.9726, 256, 162.797092521, 162.797092521
876, 1_34, 1_34, 0.0, 12127.9726, 3969, 140.291743639, 140.291743639
877, 114_155, 114_155, 0.0, 12127.9726, 81, 259.672126601, 259.672126601
878, 4_207, 4_207, 0.0, 12127.9726, 784, 156.113078675, 156.113078675
879, 9_266, 9_266, 0.0, 12127.9726, 9, 257.197693095, 257.197693095
880, 155_264, 155_264, 0.0, 12127.9726, 9, 247.052248185, 247.052248185
881, 155_265, 155_265, 0.0, 12127.9726, 1, 261.308731835, 261.308731835
882, 155_262, 155_262, 0.0, 12127.9726, 100, 218.67531487, 218.67531487
883, 155_263, 155_263, 0.0, 12127.9726, 36, 232.838341631, 232.838341631
884, 155_260, 155_260, 0.0, 12127.9726, 25, 193.139845708, 193.139845708
885, 155_261, 155_261, 0.0, 12127.9726, 225, 204.573735688, 204.573735688
886, 2_250, 2_250, 0.0, 12127.9726, 1225, 202.479068877, 202.479068877
887, 61_159, 61_159, 0.0, 12127.9726, 4096, 168.586278603, 168.586278603
888, 61_158, 61_158, 0.0, 12127.9726, 3364, 181.377212828, 181.377212828
889, 61_155, 61_155, 0.0, 12127.9726, 1156, 221.098831596, 221.098831596
890, 61_157, 61_157, 0.0, 12127.9726, 2601, 194.42318106, 194.42318106
891, 22_33, 22_33, 0.0, 12127.9726, 289, 33.7172557207, 33.7172557207
892, 22_39, 22_39, 0.0, 12127.9726, 961, 141.803008901, 141.803008901
893, 10_250, 10_250, 0.0, 12127.9726, 1, 261.308731835, 261.308731835
894, 92_186, 92_186, 0.0, 12127.9726, 1225, 80.4105299904, 80.4105299904
895, 3_250, 3_250, 0.0, 12127.9726, 900, 207.16228743, 207.16228743
896, 92_162, 92_162, 0.0, 12127.9726, 4096, 105.619000816, 105.619000816
897, 92_163, 92_163, 0.0, 12127.9726, 3249, 93.864867407, 93.864867407
898, 92_160, 92_160, 0.0, 12127.9726, 5625, 130.858142022, 130.858142022
899, 92_161, 92_161, 0.0, 12127.9726, 4900, 118.010395022, 118.010395022
900, 92_164, 92_164, 0.0, 12127.9726, 2401, 83.0191142649, 83.0191142649
901, 92_165, 92_165, 0.0, 12127.9726, 1600, 73.48505517, 73.48505517
902, 6_61, 6_61, 0.0, 12127.9726, 1849, 68.9969081433, 68.9969081433
903, 6_65, 6_65, 0.0, 12127.9726, 625, 139.275123407, 139.275123407
904, 146_186, 146_186, 0.0, 12127.9726, 289, 36.742527585, 36.742527585
905, 135_165, 135_165, 0.0, 12127.9726, 1369, 146.97011034, 146.97011034
906, 6_233, 6_233, 0.0, 12127.9726, 225, 219.64793041, 219.64793041
907, 65_186, 65_186, 0.0, 12127.9726, 441, 147.69351148, 147.69351148
908, 146_164, 146_164, 0.0, 12127.9726, 784, 42.1465696508, 42.1465696508
909, 146_161, 146_161, 0.0, 12127.9726, 2401, 83.0191142649, 83.0191142649
910, 146_160, 146_160, 0.0, 12127.9726, 2916, 97.2115905298, 97.2115905298
911, 146_163, 146_163, 0.0, 12127.9726, 1296, 55.2747078991, 55.2747078991
912, 146_162, 146_162, 0.0, 12127.9726, 1849, 68.9969081433, 68.9969081433
913, 10_50, 10_50, 0.0, 12127.9726, 36, 182.353941553, 182.353941553
914, 22_98, 22_98, 0.0, 12127.9726, 36, 226.339243909, 226.339243909
915, 8_127, 8_127, 0.0, 12127.9726, 900, 97.2115905298, 97.2115905298
916, 5_22, 5_22, 0.0, 12127.9726, 2025, 88.0046210908, 88.0046210908
917, 5_23, 5_23, 0.0, 12127.9726, 9025, 91.1769707766, 91.1769707766
918, 82_155, 82_155, 0.0, 12127.9726, 1156, 65.8350463912, 65.8350463912
919, 135_164, 135_164, 0.0, 12127.9726, 1444, 132.477067198, 132.477067198
920, 135_163, 135_163, 0.0, 12127.9726, 1444, 118.010395022, 118.010395022
921, 135_162, 135_162, 0.0, 12127.9726, 1369, 103.581143715, 103.581143715
922, 135_161, 135_161, 0.0, 12127.9726, 1225, 89.2074735285, 89.2074735285
923, 135_160, 135_160, 0.0, 12127.9726, 1024, 74.9213810159, 74.9213810159
924, 50_186, 50_186, 0.0, 12127.9726, 576, 149.129786875, 149.129786875
925, 8_34, 8_34, 0.0, 12127.9726, 784, 42.1465696508, 42.1465696508
926, 8_36, 8_36, 0.0, 12127.9726, 441, 143.793323906, 143.793323906
927, 34_225, 34_225, 0.0, 12127.9726, 784, 156.113078675, 156.113078675
928, 1_196, 1_196, 0.0, 12127.9726, 2704, 169.2172962, 169.2172962
929, 6_166, 6_166, 0.0, 12127.9726, 625, 122.442857421, 122.442857421
930, 10_176, 10_176, 0.0, 12127.9726, 1, 249.62726881, 249.62726881
931, 4_22, 4_22, 0.0, 12127.9726, 2401, 102.547029861, 102.547029861
932, 4_23, 4_23, 0.0, 12127.9726, 14400, 77.2559382831, 77.2559382831
933, 109_159, 109_159, 0.0, 12127.9726, 5329, 132.477067198, 132.477067198
934, 109_158, 109_158, 0.0, 12127.9726, 5329, 146.243130893, 146.243130893
935, 109_157, 109_157, 0.0, 12127.9726, 4356, 160.156964673, 160.156964673
936, 109_156, 109_156, 0.0, 12127.9726, 3364, 174.183160304, 174.183160304
937, 109_155, 109_155, 0.0, 12127.9726, 2401, 188.296609989, 188.296609989
988, 116_305, 116_305, 0.0, 12127.9726, 9, 236.471929271, 236.471929271
938, 98_165, 98_165, 0.0, 12127.9726, 729, 137.993816287, 137.993816287
989, 155_167, 155_167, 0.0, 12127.9726, 2025, 175.402660565, 175.402660565
939, 98_161, 98_161, 0.0, 12127.9726, 1089, 84.2931393017, 84.2931393017
990, 155_166, 155_166, 0.0, 12127.9726, 3025, 160.821059981, 160.821059981
940, 5_306, 5_306, 0.0, 12127.9726, 9, 237.371635486, 237.371635486
991, 135_206, 135_206, 0.0, 12127.9726, 484, 166.03822853, 166.03822853
