,sep,sep2,dT,peak,mult,bl1,bl2
653, 14_89, 14_89, 0.0, 12127.9726, 144, 109.581081092, 109.581081092
654, 2_94, 2_94, 0.0, 12127.9726, 144, 131.670092782, 131.670092782
655, 24_115, 24_115, 0.0, 12127.9726, 144, 105.282097244, 105.282097244
656, 3_24, 3_24, 0.0, 12127.9726, 144, 72.0200897898, 72.0200897898
657, 34_66, 34_66, 0.0, 12127.9726, 144, 119.506150469, 119.506150469
658, 3_34, 3_34, 0.0, 12127.9726, 144, 85.5481930454, 85.5481930454
659, 3_121, 3_121, 0.0, 12127.9726, 16, 164.101228921, 164.101228921
660, 0_115, 0_115, 0.0, 12127.9726, 144, 144.04017958, 144.04017958
661, 14_88, 14_88, 0.0, 12127.9726, 144, 117.103771644, 117.103771644
662, 0_100, 0_100, 0.0, 12127.9726, 144, 131.670092782, 131.670092782
663, 0_64, 0_64, 0.0, 12127.9726, 144, 103.581143715, 103.581143715
664, 27_104, 27_104, 0.0, 12127.9726, 144, 102.2, 102.2
665, 8_24, 8_24, 0.0, 12127.9726, 144, 36.742527585, 36.742527585
666, 7_69, 7_69, 0.0, 12127.9726, 4, 157.472579624, 157.472579624
667, 0_90, 0_90, 0.0, 12127.9726, 144, 124.171548002, 124.171548002
668, 0_52, 0_52, 0.0, 12127.9726, 81, 99.3801455691, 99.3801455691
669, 25_113, 25_113, 0.0, 12127.9726, 144, 102.2, 102.2
670, 2_70, 2_70, 0.0, 12127.9726, 144, 118.010395022, 118.010395022
671, 2_83, 2_83, 0.0, 12127.9726, 144, 124.171548002, 124.171548002
672, 14_78, 14_78, 0.0, 12127.9726, 144, 89.2074735285, 89.2074735285
212, 26_57, 14_28, -0.011000001803, 5828.90466103, 680, 63.6399245757, 67.4345114413
542, 22_26, 5_15, 0.00200000032783, 4796.16589987, 448, 83.0191142649, 91.1769707766
468, 0_5, 27_42, -0.00600000098348, 5048.25336328, 506, 73.0, 65.8350463912
673, 0_76, 24_100, 0.00100000016391, 74.2400917148, 272, 102.547029861, 105.282097244
213, 14_56, 0_27, 0.00500000081956, 5397.71396897, 765, 58.4, 51.2735149305
