f3F3 -> p1r4c2 -> r1B2Y -> sE7Y  -> a6Y  
f3F4 -> p1r3c2 -> r1B2X -> sE7X  -> a6X  
f3G1 -> p1r6c1 -> r2A1Y -> sB0Y  -> a65Y 
f3G2 -> p1r5c1 -> r2A1X -> sB0X  -> a65X 
f3G3 -> p1r2c2 -> r1A2Y -> sD7Y  -> a37Y 
f3G4 -> p1r1c2 -> r1A2X -> sD7X  -> a37X 
f3H1 -> p1r4c3 -> r1B3Y -> sF7Y  -> a16Y 
f3H2 -> p1r3c3 -> r1B3X -> sF7X  -> a16X 
f3H3 -> p1r2c3 -> r1A3Y -> sD1Y  -> a20Y 
f3H4 -> p1r1c3 -> r1A3X -> sD1X  -> a20X 
f4A1 -> p4r6c5 -> r6B5Y -> sF9Y  -> a62Y 
f4A2 -> p4r5c5 -> r6B5X -> sF9X  -> a62X 
f4A3 -> p4r2c6 -> r5B6Y -> sD12Y -> a86Y 
f4A4 -> p4r1c6 -> r5B6X -> sD12X -> a86X 
f4B1 -> p4r4c7 -> r6A7Y -> sA15Y -> a57Y 
f4B2 -> p4r3c7 -> r6A7X -> sA15X -> a57X 
f4B3 -> p4r2c7 -> r5B7Y -> sF12Y -> a102Y
f4B4 -> p4r1c7 -> r5B7X -> sF12X -> a102X
f4C1 -> p4r6c8 -> r6B8Y -> sC13Y -> a30Y 
f4C2 -> p4r5c8 -> r6B8X -> sC13X -> a30X 
f4C3 -> p4r4c8 -> r6A8Y -> sA10Y -> a28Y 
f4C4 -> p4r3c8 -> r6A8X -> sA10X -> a28X 
f4D1 -> p4r6c7 -> r6B7Y -> sE13Y -> a12Y 
f4D2 -> p4r5c7 -> r6B7X -> sE13X -> a12X 
f4D3 -> p4r2c8 -> r5B8Y -> sD10Y -> a85Y 
f4D4 -> p4r1c8 -> r5B8X -> sD10X -> a85X 
f4E1 -> p4r6c4 -> r6B4Y -> sE9Y  -> a52Y 
f4E2 -> p4r5c4 -> r6B4X -> sE9X  -> a52X 
f4E3 -> p4r4c4 -> r6A4Y -> sG9Y  -> a36Y 
f4E4 -> p4r3c4 -> r6A4X -> sG9X  -> a36X 
f4F1 -> p4r6c3 -> r6B3Y -> sB9Y  -> a17Y 
f4F2 -> p4r5c3 -> r6B3X -> sB9X  -> a17X 
f4F3 -> p4r2c4 -> r5B4Y -> sC12Y -> a78Y 
f4F4 -> p4r1c4 -> r5B4X -> sC12X -> a78X 
f4G1 -> p4r4c5 -> r6A5Y -> sC7Y  -> a18Y 
f4G2 -> p4r3c5 -> r6A5X -> sC7X  -> a18X 
f4G3 -> p4r2c5 -> r5B5Y -> sD14Y -> a87Y 
f4G4 -> p4r1c5 -> r5B5X -> sD14X -> a87X 
