Name,Description,Feature Code,ECEFX,ECEFY,ECEFZ,Latitude,Longitude,Northing,Easting,Elevation,Ellipsoid Height,Horizontal Quality,Elevation Quality,Ellipsoid Height Quality,Point style,Layer
"g49s","","gs49 s",5109408.571,2005134.762,-3239928.228,30ø43'16.81938"S,21ø25'37.24848"E,6601202.240,540883.535,1086.273,1086.273,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,13:45:09 20 May 2010
"gs49 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g49n","","gs49 n",5109409.479,2005135.163,-3239926.499,30ø43'16.75467"S,21ø25'37.25003"E,6601204.232,540883.584,1086.243,1086.243,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,13:45:57 20 May 2010
"gs49 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g41s","","gs41 s",5109396.808,2005156.988,-3239933.081,30ø43'17.00178"S,21ø25'38.18745"E,6601196.530,540908.486,1086.319,1086.319,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,13:47:34 20 May 2010
"gs41 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g41n","","gs41 n",5109397.726,2005157.323,-3239931.424,30ø43'16.93931"S,21ø25'38.18658"E,6601198.453,540908.470,1086.312,1086.312,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,13:48:21 20 May 2010
"gs41 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g58n","","gs58 n",5109381.514,2005138.789,-3239969.064,30ø43'18.35247"S,21ø25'37.76077"E,6601154.993,540896.980,1086.748,1086.748,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,13:50:07 20 May 2010
"gs58 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g58s","","gs58 s",5109380.569,2005138.409,-3239970.790,30ø43'18.41753"S,21ø25'37.76045"E,6601152.991,540896.964,1086.754,1086.754,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,13:51:38 20 May 2010
"gs58 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g61n","","gs61 n",5109362.076,2005154.348,-3239990.401,30ø43'19.15383"S,21ø25'38.57194"E,6601130.242,540918.460,1086.979,1086.979,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,13:53:18 20 May 2010
"gs61 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g61s","","gs61 s",5109361.141,2005153.993,-3239992.099,30ø43'19.21780"S,21ø25'38.57233"E,6601128.273,540918.462,1086.987,1086.987,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,13:55:11 20 May 2010
"gs61 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g47s","","gs47 s",5109393.920,2005205.532,-3239907.340,30ø43'16.03378"S,21ø25'39.92528"E,6601226.152,540954.818,1086.103,1086.103,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,13:57:38 20 May 2010
"gs47 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g47n","","gs47 n",5109394.786,2005205.914,-3239905.669,30ø43'15.97147"S,21ø25'39.92672"E,6601228.070,540954.864,1086.063,1086.063,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,13:59:16 20 May 2010
"gs47 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g33s","","gs33 s",5109422.411,2005164.402,-3239887.491,30ø43'15.28912"S,21ø25'38.09532"E,6601249.261,540906.237,1085.845,1085.845,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:01:50 20 May 2010
"gs33 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g33n","","gs33 n",5109423.284,2005164.791,-3239885.826,30ø43'15.22683"S,21ø25'38.09694"E,6601251.179,540906.287,1085.816,1085.816,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:02:54 20 May 2010
"gs33 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g42n","","gs42 n",5109425.166,2005152.218,-3239890.723,30ø43'15.41060"S,21ø25'37.63129"E,6601245.568,540893.882,1085.876,1085.876,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:04:18 20 May 2010
"gs42 n","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
"g42s","","gs42 s",5109424.242,2005151.814,-3239892.459,30ø43'15.47577"S,21ø25'37.62984"E,6601243.562,540893.835,1085.896,1085.896,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,14:05:39 20 May 2010
"gs42 s","","",,,,,,,,,,Unknown quality,Unknown quality,Unknown quality,<By Layer>,psa64,
